symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
-1,84.5,mercedes-benz,gas,std,four,wagon,fwd,front,104.1,186.1,68.6,55.7,4566,ohc,four,230,mpfi,3.54,3.2,13.5,152.0,6035.0,13,16,48766.0
2,,mazda,gas,std,four,hardtop,fwd,front,94.8,164.3,69.0,55.2,3653,ohc,four,194,2bbl,2.77,3.07,11.8,101.0,5863.0,13,21,37236.0
1,107.4,renault,gas,std,,hatchback,fwd,front,105.1,176.5,66.5,57.3,4095,ohcf,six,274,mpfi,3.69,3.53,12.5,176.0,6289.0,13,15,49310.0
2,148.3,toyota,gas,turbo,two,sedan,fwd,front,101.9,176.5,63.7,48.2,4080,ohcv,four,199,spfi,3.15,3.3,12.3,156.0,5390.0,13,19,40968.0
0,,honda,gas,std,two,sedan,rwd,front,84.6,142.9,68.1,53.0,3810,ohcv,four,185,mpfi,3.3,3.69,10.3,105.0,4828.0,13,17,37669.0
1,133.2,porsche,gas,std,four,convertible,rwd,front,107.1,181.7,66.6,51.1,4545,ohc,five,255,mpfi,3.69,3.15,7.0,171.0,4959.0,13,20,56216.0
1,85.5,bmw,gas,std,two,sedan,fwd,front,102.8,173.5,64.1,48.7,4274,ohc,four,238,mpfi,3.07,3.37,8.8,144.0,5218.0,13,18,48052.0
-1,99.0,bmw,gas,std,four,wagon,rwd,front,99.9,168.7,68.4,51.7,4531,ohc,six,275,mpfi,3.25,3.56,7.0,166.0,4130.0,13,22,50986.0
2,130.3,nissan,diesel,turbo,four,hatchback,rwd,front,97.0,167.3,66.4,55.6,4062,ohc,four,201,spfi,3.07,2.98,23.7,153.0,5827.0,13,22,44151.0
2,187.1,mazda,gas,std,four,convertible,fwd,front,95.6,169.0,61.6,51.8,3683,ohc,six,255,2bbl,3.29,3.33,7.0,167.0,5456.0,13,20,45176.0
1,161.9,mercedes-benz,gas,turbo,two,sedan,fwd,front,101.1,175.2,67.8,51.9,4682,dohc,four,205,mpfi,3.38,2.8,9.8,160.0,4675.0,13,16,49126.0
3,138.5,volkswagen,diesel,std,four,sedan,rwd,front,110.9,186.1,64.9,54.3,4513,ohc,eight,357,2bbl,3.22,2.73,18.4,216.0,4865.0,13,19,59059.0
0,108.8,plymouth,gas,std,four,wagon,4wd,front,101.7,170.8,67.0,50.3,4118,ohc,six,266,mpfi,3.16,3.72,8.7,165.0,5259.0,13,20,48658.0
1,116.4,audi,gas,turbo,two,wagon,fwd,front,98.7,168.7,66.9,51.0,4434,ohc,four,216,spfi,3.38,3.15,9.6,172.0,4260.0,13,18,51502.0
2,134.3,audi,gas,std,four,sedan,fwd,front,90.4,155.5,65.4,52.9,4170,ohc,four,213,2bbl,2.64,3.51,10.8,124.0,4467.0,13,20,
0,114.2,audi,gas,std,two,sedan,rwd,front,98.0,166.6,69.0,57.3,4285,ohc,eight,342,mpfi,2.72,3.0,7.7,184.0,4643.0,13,19,58092.0
0,146.6,plymouth,gas,std,two,hatchback,fwd,front,98.4,172.1,64.3,53.7,3933,ohc,four,195,2bbl,3.05,3.23,13.4,94.0,4377.0,13,22,33290.0
2,89.5,mazda,gas,std,two,convertible,fwd,front,99.7,174.7,68.3,49.8,3742,ohc,four,173,idi,3.36,3.56,15.4,113.0,4939.0,13,19,37657.0
0,,volkswagen,gas,std,two,sedan,fwd,front,102.8,179.7,68.0,54.5,3887,ohc,four,170,2bbl,3.8,3.69,10.8,122.0,5131.0,13,17,33206.0
0,134.1,volvo,gas,std,four,sedan,fwd,front,100.0,171.1,64.7,53.3,4085,ohc,four,203,idi,3.3,3.58,13.2,138.0,5144.0,13,17,43435.0
2,36.5,saab,gas,turbo,two,sedan,4wd,front,101.2,172.1,65.7,54.4,4168,ohc,four,180,mpfi,3.72,2.89,7.0,119.0,5140.0,13,19,40370.0
0,130.9,peugot,gas,std,four,wagon,rwd,front,107.8,192.8,66.1,58.3,4282,ohcv,four,194,mpfi,4.19,3.53,7.9,132.0,4944.0,13,21,39701.0
2,129.2,jaguar,gas,std,four,hatchback,fwd,front,102.0,172.7,69.4,50.5,4519,ohc,four,219,2bbl,3.53,3.28,7.0,112.0,5119.0,13,19,47653.0
3,,chevrolet,diesel,turbo,two,hatchback,fwd,front,83.5,136.8,64.8,52.4,3639,ohc,four,201,2bbl,3.1,3.41,17.9,159.0,5176.0,13,22,40080.0
-1,136.3,renault,gas,turbo,two,sedan,fwd,front,105.0,185.3,69.8,55.0,4443,ohc,four,178,spdi,3.18,3.21,15.6,138.0,5332.0,13,19,41863.0
0,106.5,bmw,diesel,std,four,hatchback,fwd,front,106.1,183.3,69.3,54.9,4733,ohc,four,214,spfi,3.43,2.09,17.6,138.0,5364.0,13,18,49949.0
0,129.3,audi,gas,std,four,sedan,fwd,front,92.4,157.9,65.8,55.9,4226,ohc,four,209,spdi,3.06,2.93,13.3,125.0,4417.0,13,20,44591.0
-1,132.9,saab,gas,std,two,wagon,rwd,rear,97.9,166.4,68.8,57.3,4469,ohc,five,237,2bbl,3.36,3.3,12.5,146.0,4760.0,13,20,47025.0
3,128.5,bmw,gas,std,two,hatchback,rwd,front,94.6,158.7,67.6,53.0,4279,ohc,four,214,mpfi,3.5,2.59,8.9,106.0,5143.0,13,21,42671.0
0,,porsche,gas,std,four,sedan,fwd,front,105.6,177.8,69.7,55.4,4663,ohc,four,207,spdi,3.07,3.4,7.0,126.0,5180.0,13,16,46740.0
-1,135.8,jaguar,gas,std,two,wagon,rwd,front,101.1,169.7,68.7,57.2,4545,ohc,five,247,spfi,3.08,3.33,14.0,187.0,4832.0,13,19,53342.0
2,78.6,honda,gas,std,two,wagon,fwd,front,95.1,163.6,68.2,54.1,3870,ohc,twelve,490,2bbl,3.59,3.66,13.4,311.0,5424.0,13,17,75101.0
1,100.1,volkswagen,gas,std,four,sedan,rwd,front,99.4,175.5,65.9,54.5,3926,dohc,four,178,2bbl,3.28,3.17,15.3,109.0,5003.0,13,17,37589.0
2,,mercedes-benz,gas,std,two,sedan,fwd,front,111.8,183.0,63.5,52.4,4700,ohc,four,209,mpfi,3.61,3.32,12.9,133.0,4844.0,13,19,42885.0
1,142.3,mitsubishi,gas,std,two,sedan,fwd,front,113.5,202.5,65.8,52.8,4129,ohc,four,173,2bbl,2.9,3.02,10.4,112.0,5334.0,13,21,35112.0
-1,,chevrolet,gas,turbo,four,hatchback,rwd,front,104.5,178.8,68.1,58.3,4407,ohc,four,207,mpfi,2.97,3.1,11.3,157.0,4800.0,13,18,43038.0
1,48.9,volkswagen,gas,turbo,four,hatchback,fwd,front,85.5,142.2,69.5,53.6,4051,rotor,four,176,mpfi,3.53,,11.7,146.0,4850.0,13,17,39259.0
0,,plymouth,gas,std,two,hatchback,fwd,front,106.2,178.6,70.0,52.4,4318,l,four,158,mpfi,2.91,3.57,14.6,88.0,5276.0,13,18,34830.0
1,147.5,jaguar,gas,std,two,sedan,rwd,front,96.5,168.6,69.1,55.1,4708,ohc,six,291,2bbl,3.34,3.07,14.9,185.0,5016.0,13,15,57742.0
0,33.1,chevrolet,gas,std,four,sedan,fwd,front,95.9,163.3,62.0,54.3,4023,ohcv,eight,308,2bbl,3.34,2.59,11.8,200.0,4999.0,13,17,51784.0
0,135.2,bmw,gas,turbo,two,hatchback,rwd,front,103.2,171.5,70.0,51.9,4422,ohc,four,212,2bbl,3.41,2.75,9.6,171.0,4186.0,13,21,51980.0
1,113.9,bmw,gas,std,four,sedan,fwd,front,103.5,176.0,65.3,59.2,4516,ohc,four,207,mpfi,3.48,2.85,11.1,152.0,5358.0,13,18,45469.0
0,,volvo,diesel,std,two,hatchback,rwd,front,107.2,188.2,63.8,55.7,4378,ohc,six,272,2bbl,3.38,3.35,23.9,184.0,3691.0,13,19,53335.0
0,108.6,audi,gas,std,two,hardtop,fwd,front,103.4,170.3,71.3,55.1,4446,l,six,294,mpfi,3.27,3.1,8.3,190.0,5253.0,13,19,59396.0
1,,porsche,diesel,std,two,hatchback,fwd,front,101.7,174.0,67.3,54.6,4763,ohc,four,227,mpfi,,,20.5,130.0,4691.0,13,19,43742.0
1,,toyota,gas,std,two,hatchback,fwd,front,97.9,169.6,71.5,57.3,4032,ohc,four,196,2bbl,3.22,3.73,9.7,149.0,5170.0,13,20,37941.0
0,78.1,peugot,gas,std,four,sedan,fwd,front,99.9,176.3,66.8,48.3,4112,ohc,four,171,mpfi,3.79,3.4,11.7,107.0,5290.0,13,17,36083.0
0,150.7,mercedes-benz,gas,std,two,sedan,rwd,front,94.9,164.5,65.3,55.4,4233,ohc,six,305,mpfi,3.27,3.42,7.0,189.0,6124.0,13,19,55048.0
2,92.2,volkswagen,gas,turbo,four,sedan,rwd,rear,82.5,140.9,66.3,52.7,3934,dohc,four,157,2bbl,3.48,3.36,12.9,114.0,6129.0,13,20,37607.0
1,,dodge,gas,std,two,hatchback,fwd,front,87.8,147.8,67.7,54.6,3572,l,four,180,idi,3.16,3.03,12.3,121.0,5052.0,13,19,32992.0
0,107.4,volvo,diesel,std,two,sedan,fwd,front,101.7,175.0,63.9,50.7,4225,rotor,four,202,mpfi,3.29,3.44,19.6,124.0,4315.0,13,21,38538.0
-1,100.3,honda,gas,std,four,hardtop,fwd,front,100.1,178.5,64.3,53.6,4190,ohc,four,182,2bbl,3.47,3.32,9.3,108.0,5269.0,13,19,36409.0
1,74.9,volkswagen,gas,std,two,hatchback,fwd,front,106.0,183.1,69.1,48.1,4462,ohcv,four,171,2bbl,3.37,3.25,10.8,119.0,4242.0,13,19,37229.0
1,160.1,dodge,gas,std,two,hatchback,fwd,front,105.5,180.8,65.0,52.5,4291,ohc,five,216,mpfi,3.43,2.7,12.3,136.0,6318.0,13,19,39284.0
3,,peugot,gas,std,four,sedan,rwd,front,102.0,174.4,63.4,56.1,4199,dohc,six,240,2bbl,3.18,3.65,8.1,156.0,4856.0,13,19,42769.0
-1,89.6,mercedes-benz,gas,std,four,hatchback,fwd,front,115.7,192.1,68.1,51.0,4741,ohc,four,219,2bbl,,3.34,13.1,134.0,4835.0,13,20,48013.0
0,109.6,porsche,gas,std,two,hatchback,fwd,front,113.0,198.9,67.9,51.4,4684,ohc,five,249,2bbl,3.27,2.8,8.5,165.0,4441.0,13,17,54809.0
0,,volkswagen,gas,std,four,wagon,4wd,front,96.0,168.7,65.1,52.2,3905,ohc,four,199,2bbl,3.94,2.93,10.2,109.0,4736.0,13,17,35346.0
0,,volvo,gas,std,two,wagon,fwd,front,91.9,164.9,69.3,54.4,3896,ohc,four,219,mpfi,3.36,2.48,7.0,144.0,5731.0,13,16,40207.0
0,127.4,dodge,gas,std,four,sedan,4wd,front,97.6,165.6,65.6,53.6,4029,ohc,four,186,mpfi,3.46,3.26,10.1,127.0,4149.0,13,20,35734.0
0,103.2,saab,diesel,std,four,wagon,rwd,front,103.6,174.6,68.4,55.8,4532,l,eight,348,mpfi,3.03,3.39,22.2,217.0,5235.0,13,22,60871.0
2,127.0,volvo,gas,turbo,two,hatchback,rwd,front,97.4,170.2,65.6,54.3,4114,ohc,four,187,mpfi,3.61,3.39,7.0,154.0,4583.0,13,21,41989.0
-1,,peugot,gas,std,two,sedan,rwd,front,92.9,152.4,68.3,58.0,4244,dohc,four,214,2bbl,3.36,2.62,10.8,120.0,5225.0,13,20,38875.0
1,102.3,volkswagen,gas,std,two,sedan,fwd,front,92.5,156.9,68.9,55.1,3960,l,six,260,2bbl,3.2,3.4,7.7,167.0,5401.0,13,21,48333.0
0,82.7,nissan,gas,std,,wagon,fwd,front,91.6,155.3,64.5,55.8,4004,ohc,four,175,2bbl,2.97,3.77,9.9,95.0,4786.0,13,16,30546.0
0,119.2,chevrolet,gas,std,four,hatchback,4wd,front,98.8,171.0,62.8,52.1,3989,ohc,six,237,2bbl,3.17,3.31,8.1,144.0,5007.0,13,20,41499.0
-1,152.9,porsche,gas,std,two,sedan,fwd,front,90.1,155.9,71.0,54.9,4408,ohc,six,281,2bbl,3.25,3.32,7.7,165.0,4445.0,13,20,55074.0
-1,140.6,mercedes-benz,gas,std,four,hardtop,rwd,front,97.5,169.4,68.2,50.3,4656,ohc,four,233,mpfi,2.99,3.83,12.0,144.0,5920.0,13,19,50393.0
1,,renault,diesel,std,four,wagon,fwd,front,83.5,144.4,65.7,56.8,3736,dohc,four,193,mpfi,3.21,3.58,19.0,123.0,5586.0,13,23,35903.0
2,115.7,nissan,gas,std,four,sedan,4wd,front,105.8,193.3,67.4,55.1,4104,ohc,four,172,spfi,3.8,3.35,11.1,103.0,5039.0,13,19,33854.0
0,125.0,volkswagen,gas,std,two,hatchback,fwd,front,99.3,162.1,64.8,54.7,4118,ohc,four,205,spdi,3.3,3.11,8.1,133.0,5223.0,13,19,40959.0
2,,bmw,gas,turbo,two,hardtop,rwd,front,96.6,169.3,66.9,52.5,4568,ohc,six,282,mpfi,3.46,3.55,10.6,211.0,4995.0,13,19,59236.0
1,99.8,renault,gas,std,four,hatchback,fwd,front,101.6,179.1,66.9,59.3,4092,ohcv,eight,326,2bbl,3.56,3.36,13.8,201.0,4959.0,13,20,54038.0
0,94.8,nissan,gas,std,four,hatchback,rwd,front,92.3,159.7,67.9,54.5,3820,ohc,four,180,mpfi,3.68,3.46,11.8,127.0,6531.0,13,18,34334.0
0,116.2,renault,gas,turbo,two,sedan,4wd,front,96.9,175.1,67.2,49.2,3915,ohcv,five,224,mpfi,3.87,3.44,12.2,158.0,4625.0,13,19,44470.0
1,97.4,mercedes-benz,gas,std,four,sedan,fwd,front,108.0,184.6,66.7,54.8,4753,ohc,four,230,mpfi,3.81,2.98,10.0,143.0,5076.0,13,16,49572.0
1,98.2,peugot,gas,std,four,hatchback,rwd,front,102.2,171.4,64.1,57.5,4016,ohcv,four,191,mpfi,3.25,3.65,7.6,102.0,5596.0,13,18,36893.0
-1,142.2,subaru,gas,turbo,four,sedan,fwd,front,91.9,159.3,67.2,56.3,4033,ohc,twelve,472,mpfi,3.46,3.51,11.8,320.0,4202.0,13,20,79050.0
2,105.8,honda,diesel,std,two,sedan,fwd,front,98.7,174.2,67.1,54.8,4078,ohc,six,271,mpfi,3.45,3.63,23.4,163.0,5707.0,13,24,46602.0
0,122.4,honda,gas,turbo,two,sedan,fwd,front,110.3,189.7,69.3,54.3,4376,ohc,four,187,2bbl,3.43,3.17,11.2,173.0,4990.0,13,22,38052.0
-1,146.0,alfa-romero,gas,std,two,sedan,rwd,front,101.6,174.6,66.1,53.9,4704,ohc,four,213,2bbl,3.28,2.6,9.4,142.0,4640.0,13,18,45499.0
-1,110.6,bmw,gas,std,four,wagon,fwd,front,102.8,181.7,70.8,57.5,4359,ohc,four,247,mpfi,3.63,3.14,7.4,163.0,4575.0,13,19,46270.0
1,107.7,bmw,gas,std,four,wagon,rwd,front,97.8,170.9,66.2,49.8,4472,ohc,four,180,mpfi,2.88,3.36,7.3,97.0,4904.0,13,18,41667.0
0,108.1,audi,gas,std,four,sedan,fwd,front,102.3,174.6,62.4,52.4,4231,ohc,four,184,idi,3.7,3.02,8.1,122.0,3961.0,13,18,41025.0
3,,mazda,gas,turbo,four,hatchback,fwd,front,92.7,159.8,66.1,51.4,3782,ohc,four,186,spdi,3.48,2.95,12.2,155.0,6427.0,13,18,38892.0
2,,chevrolet,gas,turbo,four,sedan,fwd,front,94.9,155.8,62.5,50.7,3685,ohc,four,174,mpfi,3.21,3.68,12.0,138.0,4894.0,13,20,36853.0
3,,nissan,gas,std,two,hardtop,fwd,front,98.6,169.2,66.4,54.0,4166,ohc,four,191,mpfi,3.55,3.04,12.3,110.0,5670.0,13,19,38799.0
-1,139.4,plymouth,gas,std,four,convertible,fwd,front,107.6,186.6,68.4,53.0,4081,ohc,four,197,mpfi,3.17,3.26,14.3,129.0,4269.0,13,23,37361.0
-1,112.0,honda,gas,std,two,sedan,fwd,front,105.5,183.7,67.1,54.0,4119,ohc,four,174,mpfi,3.5,3.46,11.4,112.0,4965.0,13,19,38116.0
0,142.5,subaru,gas,std,two,wagon,rwd,front,101.3,172.7,62.3,55.7,4286,l,six,260,mfi,3.78,3.62,7.2,164.0,5345.0,13,20,49540.0
2,131.2,subaru,gas,std,two,sedan,fwd,front,93.0,163.8,66.5,54.5,4033,ohcv,four,211,2bbl,3.5,2.99,16.5,136.0,5481.0,13,17,37234.0
2,171.2,toyota,gas,std,four,sedan,fwd,front,93.4,156.7,66.2,55.7,3744,ohc,four,179,mpfi,2.83,3.04,10.0,122.0,4739.0,13,18,35848.0
0,131.3,audi,gas,std,two,sedan,fwd,front,94.7,162.6,67.4,56.4,4459,ohc,four,216,2bbl,3.49,3.23,7.1,122.0,5849.0,13,22,48214.0
0,107.1,peugot,gas,std,two,wagon,fwd,front,95.7,165.7,64.8,53.3,4114,ohc,four,187,2bbl,3.22,3.3,8.8,113.0,5115.0,13,20,38259.0
1,134.6,saab,gas,std,four,hatchback,rwd,front,98.4,173.2,65.5,50.1,4197,dohc,four,216,2bbl,2.98,2.93,9.8,130.0,5825.0,13,20,41007.0
0,127.7,chevrolet,gas,std,two,hardtop,fwd,front,100.9,162.1,67.1,53.4,4030,ohc,four,168,2bbl,3.35,3.3,10.5,117.0,4582.0,13,22,33151.0
-1,146.0,renault,diesel,std,four,hatchback,rwd,rear,109.5,186.4,66.7,52.7,4146,rotor,five,247,mpfi,3.5,2.99,17.4,165.0,5705.0,13,18,46664.0
1,,nissan,gas,std,two,sedan,fwd,front,100.8,176.4,68.5,52.0,3856,ohc,five,215,idi,2.84,3.82,12.5,142.0,5609.0,13,19,44594.0
-1,113.7,plymouth,gas,std,two,hatchback,fwd,front,104.9,182.0,66.7,53.7,4097,ohcv,four,207,2bbl,3.12,3.09,13.3,137.0,5405.0,13,20,40712.0
-1,,alfa-romero,gas,std,four,convertible,fwd,front,101.7,169.4,65.8,52.8,4225,dohc,four,192,mpfi,3.54,3.5,12.5,101.0,5274.0,13,17,41968.0
-1,167.8,peugot,gas,turbo,two,hardtop,fwd,front,102.2,175.4,68.0,54.3,4374,ohc,four,209,mpfi,3.53,3.05,7.0,153.0,4815.0,13,21,46168.0
3,79.7,plymouth,gas,std,four,convertible,fwd,front,93.2,154.4,67.8,51.8,4364,ohc,four,193,2bbl,3.35,3.44,7.0,111.0,4588.0,13,19,35966.0
0,104.1,volvo,gas,std,two,sedan,rwd,front,101.5,176.7,67.3,52.7,4200,ohc,four,196,mpfi,3.16,3.05,8.0,107.0,5614.0,13,17,36796.0
2,150.8,chevrolet,gas,std,four,hatchback,rwd,front,91.3,159.2,65.5,58.2,3848,ohc,four,214,2bbl,3.82,2.93,12.7,124.0,5237.0,13,18,39836.0
-1,146.2,toyota,gas,std,two,hardtop,fwd,front,94.3,151.2,62.9,57.1,3866,ohc,four,207,2bbl,3.25,3.22,10.7,148.0,5336.0,13,21,39481.0
0,96.9,peugot,gas,std,four,hatchback,fwd,front,111.0,185.8,66.7,54.4,4229,ohc,four,214,2bbl,3.88,3.25,13.1,132.0,5110.0,13,19,41167.0
2,,porsche,gas,turbo,two,sedan,rwd,front,98.8,170.8,71.0,54.2,4747,ohc,four,214,mpfi,3.2,3.01,7.0,191.0,,13,21,49856.0
3,78.5,volkswagen,diesel,std,four,sedan,fwd,front,113.1,193.1,65.8,54.0,4467,ohc,four,205,spdi,2.78,2.87,24.0,132.0,4744.0,13,19,39113.0
1,119.6,renault,gas,std,two,sedan,fwd,front,99.9,171.5,65.0,53.5,4288,ohc,four,184,mpfi,3.23,3.42,11.6,125.0,5837.0,13,17,37156.0
1,81.7,saab,diesel,std,four,hatchback,4wd,front,100.9,183.4,67.3,53.0,4240,ohc,four,228,mpfi,3.56,3.33,17.9,151.0,5759.0,13,19,46538.0
0,119.7,mazda,gas,std,two,wagon,fwd,rear,93.4,161.2,68.7,56.7,3867,ohc,four,215,2bbl,3.69,3.05,16.0,141.0,4617.0,13,21,40414.0
2,133.8,chevrolet,diesel,std,four,hatchback,4wd,front,108.2,189.2,67.1,55.5,4069,ohc,four,166,2bbl,3.38,3.48,22.1,106.0,5403.0,13,20,34449.0
1,97.2,subaru,gas,std,two,hatchback,fwd,front,102.2,183.6,66.3,61.0,4093,ohc,four,195,idi,3.3,3.83,10.7,124.0,4671.0,13,19,42495.0
-1,90.4,mercedes-benz,gas,std,two,hatchback,rwd,front,105.6,179.0,68.4,51.6,4541,ohc,four,231,mpfi,3.59,3.27,12.3,,5557.0,13,20,45485.0
1,137.4,subaru,gas,std,two,sedan,4wd,front,90.8,150.4,65.0,53.9,3731,l,four,170,2bbl,3.61,3.13,8.3,119.0,4972.0,13,20,35297.0
-1,170.3,jaguar,gas,std,four,sedan,fwd,front,107.6,186.9,64.9,56.6,4971,l,four,216,2bbl,2.83,3.34,8.2,123.0,5094.0,13,16,45733.0
0,174.6,bmw,diesel,std,four,hatchback,4wd,front,107.6,181.6,68.0,54.3,4639,ohcv,four,189,idi,3.38,3.63,20.9,100.0,5608.0,13,20,40081.0
1,,volkswagen,gas,turbo,two,sedan,fwd,front,101.3,163.3,66.6,52.9,3992,ohcf,four,187,mpfi,2.81,2.9,12.9,121.0,4742.0,13,22,40591.0
0,,chevrolet,gas,std,two,hatchback,rwd,front,100.2,170.3,67.7,52.3,4123,ohc,four,178,mpfi,3.48,3.92,12.8,122.0,6669.0,13,20,34912.0
-1,,jaguar,diesel,std,two,hatchback,rwd,front,100.5,170.2,70.1,55.6,4319,ohc,four,227,idi,3.41,3.45,21.1,132.0,4994.0,13,19,47723.0
0,127.3,nissan,gas,std,two,sedan,rwd,front,108.9,190.5,63.5,53.1,4235,ohc,four,174,1bbl,3.44,3.52,7.6,104.0,3773.0,13,18,34910.0
2,119.6,nissan,gas,std,two,convertible,fwd,front,97.1,168.2,66.9,53.1,3786,ohc,four,188,mpfi,3.5,3.17,7.1,113.0,5238.0,13,23,36590.0
1,72.5,renault,gas,std,two,hatchback,rwd,front,92.8,162.0,68.0,51.5,3962,l,six,267,2bbl,3.14,3.6,7.0,151.0,5480.0,13,20,46612.0
2,,saab,gas,std,two,wagon,rwd,front,100.4,176.4,67.3,56.6,4231,ohc,four,182,2bbl,3.43,3.38,11.6,136.0,5521.0,13,22,37533.0
2,146.7,subaru,gas,std,four,wagon,fwd,front,99.3,169.4,69.0,52.9,4040,dohc,four,189,2bbl,3.52,3.88,12.2,135.0,4702.0,13,17,38316.0
2,150.0,chevrolet,gas,std,four,sedan,rwd,front,87.1,155.5,68.5,50.0,3757,ohcf,four,165,spdi,2.75,3.19,13.4,103.0,4876.0,13,21,34175.0
0,138.3,peugot,gas,std,two,hatchback,fwd,front,100.7,179.0,66.7,56.1,4317,ohcf,five,224,2bbl,3.5,2.88,10.5,159.0,5034.0,13,20,41894.0
0,133.3,subaru,gas,turbo,four,wagon,rwd,front,101.6,174.6,66.7,55.3,4012,ohc,two,96,mpfi,3.75,3.38,7.0,71.0,5069.0,13,19,27664.0
2,95.6,honda,gas,std,four,wagon,rwd,front,97.7,169.7,66.0,52.1,4235,ohc,eight,335,2bbl,3.01,3.59,7.0,219.0,4999.0,13,20,57999.0
-1,,volvo,gas,std,two,hatchback,rwd,front,92.6,161.2,68.8,55.4,4221,ohc,four,196,mpfi,2.82,3.37,10.6,128.0,4456.0,13,23,40955.0
1,120.8,toyota,gas,std,two,sedan,rwd,front,109.6,190.3,65.8,59.7,4167,ohc,four,209,mpfi,,2.82,14.4,130.0,5528.0,13,22,40776.0
2,101.1,mazda,gas,std,two,sedan,rwd,front,104.0,183.6,65.1,54.5,4083,ohc,four,175,1bbl,3.31,3.91,10.1,97.0,5738.0,13,20,34126.0
-1,93.0,peugot,gas,std,four,sedan,rwd,front,109.2,187.5,65.4,53.0,4074,ohc,four,213,mpfi,3.72,3.34,12.6,141.0,5437.0,13,19,41520.0
1,,nissan,gas,std,two,hatchback,fwd,front,98.9,165.6,63.0,54.0,4082,ohc,six,229,mpfi,3.86,2.92,11.8,134.0,5165.0,13,20,39993.0
1,113.1,mercedes-benz,gas,std,four,sedan,4wd,front,89.9,149.3,70.4,51.8,4267,l,four,197,mpfi,3.09,3.02,7.7,128.0,5009.0,13,20,
2,124.3,porsche,gas,std,two,hatchback,fwd,front,104.2,181.0,68.3,53.8,4712,ohc,six,283,2bbl,3.39,3.46,10.8,179.0,4757.0,13,25,55917.0
0,107.8,peugot,gas,std,two,hatchback,rwd,front,103.0,188.4,66.0,49.7,4325,ohc,four,188,2bbl,3.28,3.5,9.3,111.0,5026.0,13,20,39109.0
-1,83.1,alfa-romero,gas,std,two,sedan,fwd,front,105.6,184.6,66.2,50.5,4425,ohc,four,186,mpfi,3.45,3.24,7.0,120.0,4199.0,13,22,39499.0
-1,112.2,dodge,diesel,std,two,sedan,rwd,front,89.6,153.5,63.0,51.2,3919,ohc,four,174,2bbl,3.41,3.57,15.7,98.0,5205.0,13,20,32441.0
1,131.0,alfa-romero,gas,std,four,wagon,rwd,front,109.4,186.9,69.1,56.7,4450,ohc,four,196,2bbl,3.39,3.34,7.0,110.0,6197.0,13,17,41386.0
3,144.9,audi,diesel,std,four,sedan,4wd,front,101.1,164.6,67.1,60.3,4521,ohc,four,195,2bbl,3.24,3.29,17.3,107.0,5130.0,13,20,
